# FPDS Query — Federal Procurement Data System Query
# Data Export
# Prepared by: GETWAB INC
# Source: https://getwab.com
# Exported at: 06/19/2025 15:02:29 UTC

"№","agency_name","contract_type_code","contract_type_description","psc_code","psc_description","naics_code","naics_description","extent_code","extent_description","contract_count","total_obligated","avg_obligation"
"21","FEDERAL RAILROAD ADMINISTRATION","A","BPA CALL","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","2","1716955","858477.5"
"22","SMITHSONIAN INSTITUTION","B","PURCHASE ORDER","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","G","NOT COMPETED UNDER SAP","2","1702606","851303"
"23","STATE, DEPARTMENT OF","C","DELIVERY ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","8","1559200","194900"
"24","FEDERAL EMERGENCY MANAGEMENT AGENCY","B","PURCHASE ORDER","DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","4","1390953","347738.25"
"25","FEDERAL AVIATION ADMINISTRATION","A","BPA CALL","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","4","1341302.8","335325.7"
"26","U.S. COAST GUARD","C","DELIVERY ORDER","7D20","IT AND TELECOM - SERVICE DELIVERY MANAGEMENT (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","3","1196640","398880"
"27","DEPT OF THE NAVY","C","DELIVERY ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","6","1004205","167367.5"
"28","STATE, DEPARTMENT OF","C","DELIVERY ORDER","DF10","IT AND TELECOM - IT MANAGEMENT AS A SERVICE","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","6","839900","139983.33333333334"
"29","STATE, DEPARTMENT OF","D","DEFINITIVE CONTRACT","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","3","787330.49","262443.49666666664"
"30","STATE, DEPARTMENT OF","C","DELIVERY ORDER","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","5","750596.92","150119.38400000002"
"31","DEPT OF THE AIR FORCE","C","DELIVERY ORDER","DB10","IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","D","FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES","4","701999.18","175499.795"
"32","AGENCY FOR INTERNATIONAL DEVELOPMENT","D","DEFINITIVE CONTRACT","DF01","IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR)","561499","ALL OTHER BUSINESS SUPPORT SERVICES","C","NOT COMPETED","4","626000","156500"
"33","STATE, DEPARTMENT OF","C","DELIVERY ORDER","DF01","IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","4","519840","129960"
"34","DEFENSE LOGISTICS AGENCY","C","DELIVERY ORDER","DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","2","473800","236900"
"35","FEDERAL PRISON INDUSTRIES, INC.","C","DELIVERY ORDER","R799","SUPPORT- MANAGEMENT: OTHER","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","1","441797","441797"
"36","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY (DCSA)","B","PURCHASE ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","G","NOT COMPETED UNDER SAP","1","427104.4","427104.4"
"37","OFFICE OF THE SECRETARY","A","BPA CALL","DJ01","IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","1","343600","343600"
"38","MARITIME ADMINISTRATION","A","BPA CALL","7C21","IT AND TELECOM - OTHER DATA CENTER FACILITIES PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","F","COMPETED UNDER SAP","2","327800","163900"
"39","DEPT OF THE ARMY","C","DELIVERY ORDER","7210","HOUSEHOLD FURNISHINGS","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","323570","323570"
"40","DISTRICT OF COLUMBIA COURTS","B","PURCHASE ORDER","7B22","IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","423430","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS","C","NOT COMPETED","2","305000","152500"
"41","DEPT OF THE ARMY","C","DELIVERY ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","208050","208050"
"42","U.S. CYBER COMMAND","C","DELIVERY ORDER","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","C","NOT COMPETED","2","150000","75000"
"43","STATE, DEPARTMENT OF","C","DELIVERY ORDER","DH01","IT AND TELECOM - PLATFORM SUPPORT SERVICES: DATABASE, MAINFRAME, MIDDLEWARE (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","1","137536","137536"
"44","SMITHSONIAN INSTITUTION","B","PURCHASE ORDER","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","G","NOT COMPETED UNDER SAP","1","136800","136800"
"45","OFFICE OF PROCUREMENT OPERATIONS","D","DEFINITIVE CONTRACT","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","2","119623.75","59811.875"
"46","SMITHSONIAN INSTITUTION","B","PURCHASE ORDER","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","513210","SOFTWARE PUBLISHERS","G","NOT COMPETED UNDER SAP","1","112529.97","112529.97"
"47","STATE, DEPARTMENT OF","C","DELIVERY ORDER","D307","IT AND TELECOM- IT STRATEGY AND ARCHITECTURE","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","2","103643.95","51821.975"
"48","INTERNAL REVENUE SERVICE","C","DELIVERY ORDER","DE01","IT and Telecom - End User: Help Desk; Tier 1-2, Workspace, Print, Output, Productivity Tools (Labor)","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","C","NOT COMPETED","1","100000","100000"
"49","DEPT OF THE NAVY","B","PURCHASE ORDER","DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","G","NOT COMPETED UNDER SAP","1","71941.68","71941.68"
"50","UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)","B","PURCHASE ORDER","DH10","IT AND TELECOM - PLATFORM AS A SERVICE: DATABASE, MAINFRAME, MIDDLEWARE","513210","SOFTWARE PUBLISHERS","G","NOT COMPETED UNDER SAP","1","65582","65582"
"51","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","B","PURCHASE ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","G","NOT COMPETED UNDER SAP","5","1977.6","395.52"
"52","DEPT OF THE NAVY","C","DELIVERY ORDER","AC35","NATIONAL DEFENSE R&D SVCS; DEFENSE-RELATED ACTIVITIES; R&D FACILITIES & MAJ EQUIP","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","A","FULL AND OPEN COMPETITION","1","1000","1000"
"53","OFFICE OF THE SECRETARY","A","BPA CALL","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","2","0","0"
"54","DEFENSE HEALTH AGENCY (DHA)","C","DELIVERY ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","0","0"
"55","FEDERAL HIGHWAY ADMINISTRATION","A","BPA CALL","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","1","0","0"
"56","DEPT OF THE AIR FORCE","C","DELIVERY ORDER","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","0","0"
"57","FEDERAL RAILROAD ADMINISTRATION","A","BPA CALL","DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","F","COMPETED UNDER SAP","1","0","0"
"58","OFFICE OF PROCUREMENT OPERATIONS","C","DELIVERY ORDER","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","541519","OTHER COMPUTER RELATED SERVICES","A","FULL AND OPEN COMPETITION","1","0","0"
"59","DEPT OF THE NAVY","B","PURCHASE ORDER","7J20","IT AND TELECOM - SECURITY AND COMPLIANCE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","511210","SOFTWARE PUBLISHERS","C","NOT COMPETED","2","0","0"
"60","STATE, DEPARTMENT OF","C","DELIVERY ORDER","DB02","IT AND TELECOM - COMPUTE SUPPORT SERVICES, NON-HPC (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","2","0","0"
"61","FEDERAL HIGHWAY ADMINISTRATION","A","BPA CALL","7030","INFORMATION TECHNOLOGY SOFTWARE","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","1","-0.18","-0.18"
"62","FEDERAL AVIATION ADMINISTRATION","A","BPA CALL","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","1","-657","-657"
"63","STATE, DEPARTMENT OF","C","DELIVERY ORDER","R497","SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","1","-2039.16","-2039.16"
"64","U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT","C","DELIVERY ORDER","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","541519","OTHER COMPUTER RELATED SERVICES","A","FULL AND OPEN COMPETITION","1","-3065.69","-3065.69"
"65","DEPT OF THE NAVY","C","DELIVERY ORDER","7010","INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","-8117.5","-8117.5"
"66","DEPT OF THE AIR FORCE","C","DELIVERY ORDER","DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","-8580.48","-8580.48"
"67","U.S. CUSTOMS AND BORDER PROTECTION","C","DELIVERY ORDER","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","541519","OTHER COMPUTER RELATED SERVICES","A","FULL AND OPEN COMPETITION","1","-10117.12","-10117.12"
"68","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","C","DELIVERY ORDER","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","541512","COMPUTER SYSTEMS DESIGN SERVICES","C","NOT COMPETED","1","-25135.38","-25135.38"
"69","FEDERAL RAILROAD ADMINISTRATION","A","BPA CALL","D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","F","COMPETED UNDER SAP","1","-27969.65","-27969.65"
"70","U.S. CUSTOMS AND BORDER PROTECTION","C","DELIVERY ORDER","R401","SUPPORT- PROFESSIONAL: PERSONAL CARE (NON-MEDICAL)","541519","OTHER COMPUTER RELATED SERVICES","A","FULL AND OPEN COMPETITION","1","-50769.1","-50769.1"
"71","TRANSPORTATION SECURITY ADMINISTRATION","C","DELIVERY ORDER","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","541519","OTHER COMPUTER RELATED SERVICES","A","FULL AND OPEN COMPETITION","1","-60010.07","-60010.07"
"72","OFFICE OF THE SECRETARY","A","BPA CALL","7030","INFORMATION TECHNOLOGY SOFTWARE","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","F","COMPETED UNDER SAP","1","-217687.77","-217687.77"
"73","STATE, DEPARTMENT OF","C","DELIVERY ORDER","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","3","-330893.25","-110297.75"
"74","STATE, DEPARTMENT OF","C","DELIVERY ORDER","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","7","-439072.23","-62724.60428571428"
"75","STATE, DEPARTMENT OF","C","DELIVERY ORDER","D320","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","1","-708549.21","-708549.21"
